,Unnamed: 0,comment_id,status_id,parent_id,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,comment_message_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original
0,0,1285505858222269_1285522684887253,431918433581020_1285505858222269,,2017-12-29 12:08:56,2,0,0,1,1,0,0,0,"Above great advice for vacation or big ticket item (Stashing loonies & twonies also works). If you want to take it up a notch (and guarantee yourself financial freedom in later years) save minimum % of ’take home’ salary, no matter how little you make!",[],[],great advice vacation big ticket item Stashing loonies twonies also works want take notch guarantee financial freedom later years save minimum take salary matter little make,"['great', 'advice', 'vacation', 'big', 'ticket', 'item', 'Stashing', 'loonies', 'twonies', 'also', 'works', 'want', 'take', 'notch', 'guarantee', 'financial', 'freedom', 'later', 'years', 'save', 'minimum', 'take', 'salary', 'matter', 'little', 'make']","[u'great', u'advic', u'vacat', u'big', u'ticket', u'item', u'stash', u'looni', u'twoni', u'also', u'work', u'want', u'take', u'notch', u'guarante', u'financi', u'freedom', u'later', u'year', u'save', u'minimum', u'take', u'salari', u'matter', u'littl', u'make']","Above great advice for vacation or big ticket item (Stashing loonies & twonies also works). If you want to take it up a notch (and guarantee yourself financial freedom in later years) save minimum 10% of ’take home’ salary, no matter how little you make!"
1,1,1285505858222269_1285528684886653,431918433581020_1285505858222269,,2017-12-29 12:14:15,1,1,0,0,0,0,0,0,Thanks government of Canada for such useful incite. Most who don't have savings and need something like this cannot afford $52/wk or $200/m in month . That's why most are broke,[],[],Thanks government Canada useful incite savings need something like cannot afford 52 wk 200 month broke,"['Thanks', 'government', 'Canada', 'useful', 'incite', 'savings', 'need', 'something', 'like', 'cannot', 'afford', '52', 'wk', '200', 'month', 'broke']","[u'thank', u'govern', u'canada', u'use', u'incit', u'save', u'need', u'someth', u'like', u'cannot', u'afford', '52', 'wk', u'200', u'month', u'broke']","Thanks government of Canada for such useful incite. 
Most  who don't have savings and need something like this cannot afford $52/wk or $200/m in month 12.  That's why most are broke"
2,2,1285505858222269_1285882921517896,431918433581020_1285505858222269,,2017-12-29 22:01:12,0,0,0,0,0,0,0,0,Iven Shobs Bedic let’s do this.,[],[],Iven Shobs Bedic,"['Iven', 'Shobs', 'Bedic']","[u'iven', u'shob', u'bedic']",Iven Shobs Bedic let’s do this.🙂
3,3,1285505858222269_1285945628178292,431918433581020_1285505858222269,,2017-12-30 00:08:16,0,0,0,0,0,0,0,0,,[],[],,['nan'],[u'nan'],
4,4,1285505858222269_1286022184837303,431918433581020_1285505858222269,,2017-12-30 02:46:35,0,0,0,0,0,0,0,0,[[STICKER]],[],[],STICKER,['STICKER'],[u'sticker'], [[STICKER]]
5,5,1285505858222269_1286404134799108,431918433581020_1285505858222269,,2017-12-30 13:00:25,0,0,0,0,0,0,0,0,,[],[],,['nan'],[u'nan'],😇
6,6,1285505858222269_1286432878129567,431918433581020_1285505858222269,,2017-12-30 13:49:16,0,0,0,0,0,0,0,0,Good Idea🇬🇧🇺🇸🇯🇵🇩🇪,[],[],Good,['Good'],[u'good'],Good Idea🇬🇧✈🇺🇸🇯🇵🇩🇪
7,7,1285505858222269_1287059658066889,431918433581020_1285505858222269,,2017-12-31 07:54:26,2,2,0,0,0,0,0,0,Wonder if this is the method Justin uses to save up for trips to the Bahamas.,[],[],Wonder method Justin uses save trips Bahamas,"['Wonder', 'method', 'Justin', 'uses', 'save', 'trips', 'Bahamas']","[u'wonder', u'method', u'justin', u'use', u'save', u'trip', u'bahama']",Wonder if this is the method Justin uses to save up for trips to the Bahamas.
8,8,1285505858222269_1290465197726335,431918433581020_1285505858222269,,2018-01-04 00:50:45,0,0,0,0,0,0,0,0,"I put dollars by the second week,but i had to buy food !",[],[],put dollars second week buy food,"['put', 'dollars', 'second', 'week', 'buy', 'food']","[u'put', u'dollar', u'second', u'week', u'buy', u'food']","I put  2 dollars by the  second week,but i had to buy food !"
9,9,1285505858222269_1300154823424039,431918433581020_1285505858222269,,2018-01-14 23:04:30,0,0,0,0,0,0,0,0,"Hello Loan Seekers, Do you need an urgent? If yes worry no more, For we offer all kinds of loan at a low and affordable interest rate. * Are you financially Squeezed? * Do you seek funds to pay off credits and debts * Do you seek finance to set up your own business? * Are you in need of private or business loans for various purposes? * Do you seek loans to carry out large projects/Real Estate * Do you seek funding for various other processes? LOAN APPLICATION INFORMATION FORM * Name: * Age: * State: * Country: * Phone Number: * Loan Amount Needed: * Loan Duration: Contact us now via Email: __________fidelityloanlenderservice.com",[],[],Hello Loan Seekers need urgent yes worry offer kinds loan low affordable interest rate financially Squeezed seek funds pay credits debts seek finance set business need private business loans various purposes seek loans carry large projects Real Estate seek funding various processes LOAN APPLICATION INFORMATION FORM Name Age State Country Phone Number Loan Amount Needed Loan Duration Contact us via Email com,"['Hello', 'Loan', 'Seekers', 'need', 'urgent', 'yes', 'worry', 'offer', 'kinds', 'loan', 'low', 'affordable', 'interest', 'rate', 'financially', 'Squeezed', 'seek', 'funds', 'pay', 'credits', 'debts', 'seek', 'finance', 'set', 'business', 'need', 'private', 'business', 'loans', 'various', 'purposes', 'seek', 'loans', 'carry', 'large', 'projects', 'Real', 'Estate', 'seek', 'funding', 'various', 'processes', 'LOAN', 'APPLICATION', 'INFORMATION', 'FORM', 'Name', 'Age', 'State', 'Country', 'Phone', 'Number', 'Loan', 'Amount', 'Needed', 'Loan', 'Duration', 'Contact', 'us', 'via', 'Email', 'com']","[u'hello', u'loan', u'seeker', u'need', u'urgent', u'yes', u'worri', u'offer', u'kind', u'loan', u'low', u'afford', u'interest', u'rate', u'financi', u'squeez', u'seek', u'fund', u'pay', u'credit', u'debt', u'seek', u'financ', u'set', u'busi', u'need', u'privat', u'busi', u'loan', u'various', u'purpos', u'seek', u'loan', u'carri', u'larg', u'project', u'real', u'estat', u'seek', u'fund', u'various', u'process', u'loan', u'applic', u'inform', u'form', u'name', u'age', u'state', u'countri', u'phone', u'number', u'loan', u'amount', u'need', u'loan', u'durat', u'contact', 'us', u'via', u'email', u'com']","Hello Loan Seekers, Do you need an urgent? If yes worry no more, For we offer all kinds of loan at a low and affordable interest rate. * Are you financially Squeezed? * Do you seek funds to pay off credits and debts * Do you seek finance to set up your own business? * Are you in need of private or business loans for various purposes? * Do you seek loans to carry out large projects/Real Estate * Do you seek funding for various other processes? LOAN APPLICATION INFORMATION FORM * Name: * Age: * State: * Country: * Phone Number: * Loan Amount Needed: * Loan Duration: Contact us now via Email: __________fidelityloanlenderservice@gmail.com"
10,10,1284746441631544_1291039467668908,431918433581020_1284746441631544,,2018-01-04 14:48:15,0,0,0,0,0,0,0,0,The politicians are worried that you won't have any money they could take from you. That's why they want you to create a budget !,[],[],politicians worried money could take want create budget,"['politicians', 'worried', 'money', 'could', 'take', 'want', 'create', 'budget']","[u'politician', u'worri', u'money', u'could', u'take', u'want', u'creat', u'budget']",The politicians are worried that you won't have any money they could take from you. That's why they want you to create a budget !
11,11,1284661841640004_1291040124335509,431918433581020_1284661841640004,,2018-01-04 14:49:09,0,0,0,0,0,0,0,0,This office is going to be the busiest in the government !,[],[],office going busiest government,"['office', 'going', 'busiest', 'government']","[u'offic', u'go', u'busiest', u'govern']",This office is going to be the busiest in the government !
12,12,1283811278391727_1283869158385939,431918433581020_1283811278391727,,2017-12-27 13:28:29,0,0,0,0,0,0,0,0,Frogtastic WiFi tips Your Money Matters - Government of Canada,['#safety'],[],Frogtastic WiFi tips Money Matters Government Canada,"['Frogtastic', 'WiFi', 'tips', 'Money', 'Matters', 'Government', 'Canada']","[u'frogtast', u'wifi', u'tip', u'money', u'matter', u'govern', u'canada']",Frogtastic WiFi #safety tips Your Money Matters - Government of Canada :)
13,13,1283811278391727_1284341668338688,431918433581020_1283811278391727,,2017-12-28 04:53:02,0,0,0,0,0,0,0,0,I would like to say that even people who do not use public Wi-Fi can be hacked too.,[],[],would like say even people use public Wi Fi hacked,"['would', 'like', 'say', 'even', 'people', 'use', 'public', 'Wi', 'Fi', 'hacked']","[u'would', u'like', u'say', u'even', u'peopl', u'use', u'public', 'wi', 'fi', u'hack']",I would like to say that even people who do not use public Wi-Fi can be hacked too.
14,14,1283811278391727_1285535498219305,431918433581020_1283811278391727,,2017-12-29 12:23:42,0,0,0,0,0,0,0,0,Great tip!,[],[],Great tip,"['Great', 'tip']","[u'great', u'tip']",Great tip!
15,15,1283811278391727_1300154940090694,431918433581020_1283811278391727,,2018-01-14 23:04:45,0,0,0,0,0,0,0,0,"Hello Loan Seekers, Do you need an urgent? If yes worry no more, For we offer all kinds of loan at a low and affordable interest rate. * Are you financially Squeezed? * Do you seek funds to pay off credits and debts * Do you seek finance to set up your own business? * Are you in need of private or business loans for various purposes? * Do you seek loans to carry out large projects/Real Estate * Do you seek funding for various other processes? LOAN APPLICATION INFORMATION FORM * Name: * Age: * State: * Country: * Phone Number: * Loan Amount Needed: * Loan Duration: Contact us now via Email: __________fidelityloanlenderservice.com",[],[],Hello Loan Seekers need urgent yes worry offer kinds loan low affordable interest rate financially Squeezed seek funds pay credits debts seek finance set business need private business loans various purposes seek loans carry large projects Real Estate seek funding various processes LOAN APPLICATION INFORMATION FORM Name Age State Country Phone Number Loan Amount Needed Loan Duration Contact us via Email com,"['Hello', 'Loan', 'Seekers', 'need', 'urgent', 'yes', 'worry', 'offer', 'kinds', 'loan', 'low', 'affordable', 'interest', 'rate', 'financially', 'Squeezed', 'seek', 'funds', 'pay', 'credits', 'debts', 'seek', 'finance', 'set', 'business', 'need', 'private', 'business', 'loans', 'various', 'purposes', 'seek', 'loans', 'carry', 'large', 'projects', 'Real', 'Estate', 'seek', 'funding', 'various', 'processes', 'LOAN', 'APPLICATION', 'INFORMATION', 'FORM', 'Name', 'Age', 'State', 'Country', 'Phone', 'Number', 'Loan', 'Amount', 'Needed', 'Loan', 'Duration', 'Contact', 'us', 'via', 'Email', 'com']","[u'hello', u'loan', u'seeker', u'need', u'urgent', u'yes', u'worri', u'offer', u'kind', u'loan', u'low', u'afford', u'interest', u'rate', u'financi', u'squeez', u'seek', u'fund', u'pay', u'credit', u'debt', u'seek', u'financ', u'set', u'busi', u'need', u'privat', u'busi', u'loan', u'various', u'purpos', u'seek', u'loan', u'carri', u'larg', u'project', u'real', u'estat', u'seek', u'fund', u'various', u'process', u'loan', u'applic', u'inform', u'form', u'name', u'age', u'state', u'countri', u'phone', u'number', u'loan', u'amount', u'need', u'loan', u'durat', u'contact', 'us', u'via', u'email', u'com']","Hello Loan Seekers, Do you need an urgent? If yes worry no more, For we offer all kinds of loan at a low and affordable interest rate. * Are you financially Squeezed? * Do you seek funds to pay off credits and debts * Do you seek finance to set up your own business? * Are you in need of private or business loans for various purposes? * Do you seek loans to carry out large projects/Real Estate * Do you seek funding for various other processes? LOAN APPLICATION INFORMATION FORM * Name: * Age: * State: * Country: * Phone Number: * Loan Amount Needed: * Loan Duration: Contact us now via Email: __________fidelityloanlenderservice@gmail.com"
16,16,1281957625243759_1282066055232916,431918433581020_1281957625243759,,2017-12-25 10:26:39,0,0,0,0,0,0,0,0,Cute picture,[],[],Cute picture,"['Cute', 'picture']","[u'cute', u'pictur']",Cute picture
17,17,1281957625243759_1282191708553684,431918433581020_1281957625243759,,2017-12-25 13:10:28,0,0,0,0,0,0,0,0,"$300,000 for the cover of the budget - wonder what this cost me?",[],[],300 000 cover budget wonder cost,"['300', '000', 'cover', 'budget', 'wonder', 'cost']","[u'300', u'000', u'cover', u'budget', u'wonder', u'cost']","$300,000 for the cover of the budget - wonder what this cost me?"
18,18,1281957625243759_1284114118361443,431918433581020_1281957625243759,,2017-12-27 21:26:07,0,0,0,0,0,0,0,0,It's called christmas,[],[],called christmas,"['called', 'christmas']","[u'call', u'christma']",It's called christmas
19,19,1281957625243759_1291041317668723,431918433581020_1281957625243759,,2018-01-04 14:50:46,0,0,0,0,0,0,0,0,"You wish us a warm holiday ? Gee,can we afford our heating bills ?",[],[],wish us warm holiday Gee afford heating bills,"['wish', 'us', 'warm', 'holiday', 'Gee', 'afford', 'heating', 'bills']","[u'wish', 'us', u'warm', u'holiday', u'gee', u'afford', u'heat', u'bill']","You wish us a warm holiday ?  Gee,can we afford our heating bills ?"
20,20,1281957625243759_1300155090090679,431918433581020_1281957625243759,,2018-01-14 23:05:00,0,0,0,0,0,0,0,0,"Hello Loan Seekers, Do you need an urgent? If yes worry no more, For we offer all kinds of loan at a low and affordable interest rate. * Are you financially Squeezed? * Do you seek funds to pay off credits and debts * Do you seek finance to set up your own business? * Are you in need of private or business loans for various purposes? * Do you seek loans to carry out large projects/Real Estate * Do you seek funding for various other processes? LOAN APPLICATION INFORMATION FORM * Name: * Age: * State: * Country: * Phone Number: * Loan Amount Needed: * Loan Duration: Contact us now via Email: __________fidelityloanlenderservice. com",[],[],Hello Loan Seekers need urgent yes worry offer kinds loan low affordable interest rate financially Squeezed seek funds pay credits debts seek finance set business need private business loans various purposes seek loans carry large projects Real Estate seek funding various processes LOAN APPLICATION INFORMATION FORM Name Age State Country Phone Number Loan Amount Needed Loan Duration Contact us via Email com,"['Hello', 'Loan', 'Seekers', 'need', 'urgent', 'yes', 'worry', 'offer', 'kinds', 'loan', 'low', 'affordable', 'interest', 'rate', 'financially', 'Squeezed', 'seek', 'funds', 'pay', 'credits', 'debts', 'seek', 'finance', 'set', 'business', 'need', 'private', 'business', 'loans', 'various', 'purposes', 'seek', 'loans', 'carry', 'large', 'projects', 'Real', 'Estate', 'seek', 'funding', 'various', 'processes', 'LOAN', 'APPLICATION', 'INFORMATION', 'FORM', 'Name', 'Age', 'State', 'Country', 'Phone', 'Number', 'Loan', 'Amount', 'Needed', 'Loan', 'Duration', 'Contact', 'us', 'via', 'Email', 'com']","[u'hello', u'loan', u'seeker', u'need', u'urgent', u'yes', u'worri', u'offer', u'kind', u'loan', u'low', u'afford', u'interest', u'rate', u'financi', u'squeez', u'seek', u'fund', u'pay', u'credit', u'debt', u'seek', u'financ', u'set', u'busi', u'need', u'privat', u'busi', u'loan', u'various', u'purpos', u'seek', u'loan', u'carri', u'larg', u'project', u'real', u'estat', u'seek', u'fund', u'various', u'process', u'loan', u'applic', u'inform', u'form', u'name', u'age', u'state', u'countri', u'phone', u'number', u'loan', u'amount', u'need', u'loan', u'durat', u'contact', 'us', u'via', u'email', u'com']","Hello Loan Seekers, Do you need an urgent? If yes worry no more, For we offer all kinds of loan at a low and affordable interest rate. * Are you financially Squeezed? * Do you seek funds to pay off credits and debts * Do you seek finance to set up your own business? * Are you in need of private or business loans for various purposes? * Do you seek loans to carry out large projects/Real Estate * Do you seek funding for various other processes? LOAN APPLICATION INFORMATION FORM * Name: * Age: * State: * Country: * Phone Number: * Loan Amount Needed: * Loan Duration: Contact us now via Email: __________fidelityloanlenderservice@gmail. com"
