,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,status_id,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,status_message_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original,category
0,0,0,0,485734081568161_1070571143084449,Timeline Photos,photo,https://www.facebook.com/QuestionsdargentCanada/photos/a.534106823397553.1073741828.485734081568161/1070571143084449/?type=3,2017-12-29 11:45:18,39,7,63,37,2,0,0,0,0,0,"En , les abonnés de Questions d’argent ont pris part au éfi52semainesdéconomie. La première semaine, ils ont économisé un dollar. La deuxième, deux dollars. La troisième, trois dollars. Vous voyez le concept? Ils devraient avoir économisé $ en cette fin de ! Nous aimerions savoir si vous avez été en mesure d’adopter cette nouvelle habitude d’épargne. Est-ce que le fait d’avoir un plan vous a permis d’atteindre votre objectif en matière d’épargne? Pour nous répondre, utilisez la case commentaires ci-dessous. Vous engagez-vous à reprendre le défi des semaines d’économie en ? Pour obtenir d’autres conseils en matière d’épargne:",['#d'],['http://ow.ly/L1te30hs5VX'],En 2017 les de Questions argent ont pris part au conomie La semaine ils ont un dollar La deux dollars La trois dollars Vous voyez le concept Ils devraient avoir 1378 en cette fin de 2017 Nous aimerions savoir si vous avez en mesure adopter cette nouvelle habitude pargne Est ce que le fait avoir un plan vous permis atteindre votre objectif en pargne Pour nous pondre utilisez la case commentaires ci dessous Vous engagez vous reprendre le fi des 52 semaines conomie en 2018 Pour obtenir autres conseils en pargne http ow ly L1te30hs5VX,"['En', '2017', 'les', 'de', 'Questions', 'argent', 'ont', 'pris', 'part', 'au', 'conomie', 'La', 'semaine', 'ils', 'ont', 'un', 'dollar', 'La', 'deux', 'dollars', 'La', 'trois', 'dollars', 'Vous', 'voyez', 'le', 'concept', 'Ils', 'devraient', 'avoir', '1378', 'en', 'cette', 'fin', 'de', '2017', 'Nous', 'aimerions', 'savoir', 'si', 'vous', 'avez', 'en', 'mesure', 'adopter', 'cette', 'nouvelle', 'habitude', 'pargne', 'Est', 'ce', 'que', 'le', 'fait', 'avoir', 'un', 'plan', 'vous', 'permis', 'atteindre', 'votre', 'objectif', 'en', 'pargne', 'Pour', 'nous', 'pondre', 'utilisez', 'la', 'case', 'commentaires', 'ci', 'dessous', 'Vous', 'engagez', 'vous', 'reprendre', 'le', 'fi', 'des', '52', 'semaines', 'conomie', 'en', '2018', 'Pour', 'obtenir', 'autres', 'conseils', 'en', 'pargne', 'http', 'ow', 'ly', 'L1te30hs5VX']","['en', u'2017', u'les', 'de', u'question', u'argent', u'ont', u'pris', u'part', 'au', u'conomi', 'la', u'semain', u'il', u'ont', 'un', u'dollar', 'la', u'deux', u'dollar', 'la', u'troi', u'dollar', u'vous', u'voyez', 'le', u'concept', u'il', u'devraient', u'avoir', u'1378', 'en', u'cett', u'fin', 'de', u'2017', u'nous', u'aimerion', u'savoir', 'si', u'vous', u'avez', 'en', u'mesur', u'adopt', u'cett', u'nouvell', u'habitud', u'pargn', u'est', 'ce', u'que', 'le', u'fait', u'avoir', 'un', u'plan', u'vous', u'permi', u'atteindr', u'votr', u'objectif', 'en', u'pargn', u'pour', u'nous', u'pondr', u'utilisez', 'la', u'case', u'commentair', 'ci', u'dessous', u'vous', u'engagez', u'vous', u'reprendr', 'le', 'fi', u'des', '52', u'semain', u'conomi', 'en', u'2018', u'pour', u'obtenir', u'autr', u'conseil', 'en', u'pargn', u'http', 'ow', 'ly', u'l1te30hs5vx']","En 2017, les abonnés de Questions d’argent ont pris part au #défi52semainesdéconomie.
La première semaine, ils ont économisé un dollar. La deuxième, deux dollars. La troisième, trois dollars. Vous voyez le concept? Ils devraient avoir économisé 1378$ en cette fin de 2017!
Nous aimerions savoir si vous avez été en mesure d’adopter cette nouvelle habitude d’épargne. Est-ce que le fait d’avoir un plan vous a permis d’atteindre votre objectif en matière d’épargne? Pour nous répondre, utilisez la case commentaires ci-dessous.
Vous engagez-vous à reprendre le défi des 52 semaines d’économie en 2018?
Pour obtenir d’autres conseils en matière d’épargne:
http://ow.ly/L1te30hs5VX",Environmental
1,1,1,1,485734081568161_1070116543129909,Agence de la consommation en matière financière du Canada (ACFC),photo,https://www.facebook.com/ACFCan/photos/a.260990094033469.64157.184605778338568/1155929974539472/?type=3,2017-12-28 14:02:41,3,0,1,3,0,0,0,0,0,0,,[],[],,['nan'],[u'nan'],,Social
2,2,2,2,485734081568161_1070069349801295,,status,,2017-12-28 11:45:17,0,0,2,0,0,0,0,0,0,0,"La proposition de consommateur est un plan qui permet de rembourser à vos créanciers un pourcentage de ce que vous leur devez ou de prolonger la période de remboursement, ou les deux. Pour en savoir plus sur les propositions de consommateur: 9",[],['http://ow.ly/TUJJ30hs4X'],La proposition de consommateur est un plan qui permet de rembourser vos anciers un pourcentage de ce que vous leur devez ou de prolonger la riode de remboursement ou les deux Pour en savoir plus sur les propositions de consommateur http ow ly TUJJ30hs4X9,"['La', 'proposition', 'de', 'consommateur', 'est', 'un', 'plan', 'qui', 'permet', 'de', 'rembourser', 'vos', 'anciers', 'un', 'pourcentage', 'de', 'ce', 'que', 'vous', 'leur', 'devez', 'ou', 'de', 'prolonger', 'la', 'riode', 'de', 'remboursement', 'ou', 'les', 'deux', 'Pour', 'en', 'savoir', 'plus', 'sur', 'les', 'propositions', 'de', 'consommateur', 'http', 'ow', 'ly', 'TUJJ30hs4X9']","['la', u'proposit', 'de', u'consommateur', u'est', 'un', u'plan', u'qui', u'permet', 'de', u'rembours', u'vos', u'ancier', 'un', u'pourcentag', 'de', 'ce', u'que', u'vous', u'leur', u'devez', 'ou', 'de', u'prolong', 'la', u'riod', 'de', u'rembours', 'ou', u'les', u'deux', u'pour', 'en', u'savoir', u'plus', u'sur', u'les', u'proposit', 'de', u'consommateur', u'http', 'ow', 'ly', u'tujj30hs4x9']","La proposition de consommateur est un plan qui permet de rembourser à vos créanciers un pourcentage de ce que vous leur devez ou de prolonger la période de remboursement, ou les deux.
Pour en savoir plus sur les propositions de consommateur: http://ow.ly/TUJJ30hs4X9",Social
3,3,3,3,485734081568161_1069540559854174,Timeline Photos,photo,https://www.facebook.com/QuestionsdargentCanada/photos/a.534106823397553.1073741828.485734081568161/1069540559854174/?type=3,2017-12-27 11:45:17,5,0,11,5,0,0,0,0,0,0,"Vous vous branchez à un réseau Wi-Fi public pour utiliser les médias sociaux? Utiliser un réseau Wi-Fi public peut être pratique, mais également risqué. Si vous devez effectuer une transaction en ligne pour laquelle vous devez saisir des renseignements personnels, il vaut mieux utiliser votre propre forfait sans fil plutôt qu’un réseau non sécurisé. Pour d’autres conseils é : 1",['#WiFiFut'],['http://ow.ly/sdgV30hs4x'],Vous vous branchez un seau Wi Fi public pour utiliser les dias sociaux Utiliser un seau Wi Fi public peut pratique mais galement Si vous devez effectuer une transaction en ligne pour laquelle vous devez saisir des renseignements personnels il vaut mieux utiliser votre propre forfait sans fil un seau non Pour autres conseils http ow ly sdgV30hs4x1,"['Vous', 'vous', 'branchez', 'un', 'seau', 'Wi', 'Fi', 'public', 'pour', 'utiliser', 'les', 'dias', 'sociaux', 'Utiliser', 'un', 'seau', 'Wi', 'Fi', 'public', 'peut', 'pratique', 'mais', 'galement', 'Si', 'vous', 'devez', 'effectuer', 'une', 'transaction', 'en', 'ligne', 'pour', 'laquelle', 'vous', 'devez', 'saisir', 'des', 'renseignements', 'personnels', 'il', 'vaut', 'mieux', 'utiliser', 'votre', 'propre', 'forfait', 'sans', 'fil', 'un', 'seau', 'non', 'Pour', 'autres', 'conseils', 'http', 'ow', 'ly', 'sdgV30hs4x1']","[u'vous', u'vous', u'branchez', 'un', u'seau', 'wi', 'fi', u'public', u'pour', u'utilis', u'les', u'dia', u'sociaux', u'utilis', 'un', u'seau', 'wi', 'fi', u'public', u'peut', u'pratiqu', u'mai', u'galement', 'si', u'vous', u'devez', u'effectu', u'une', u'transact', 'en', u'lign', u'pour', u'laquell', u'vous', u'devez', u'saisir', u'des', u'renseign', u'personnel', 'il', u'vaut', u'mieux', u'utilis', u'votr', u'propr', u'forfait', u'san', u'fil', 'un', u'seau', u'non', u'pour', u'autr', u'conseil', u'http', 'ow', 'ly', u'sdgv30hs4x1']","Vous vous branchez à un réseau Wi-Fi public pour utiliser les médias sociaux?
Utiliser un réseau Wi-Fi public peut être pratique, mais également risqué. Si vous devez effectuer une transaction en ligne pour laquelle vous devez saisir des renseignements personnels, il vaut mieux utiliser votre propre forfait sans fil plutôt qu’un réseau non sécurisé.
Pour d’autres conseils #WiFiFuté : http://ow.ly/sdgV30hs4x1",Environmental
4,4,4,4,485734081568161_1069076363233927,Timeline Photos,photo,https://www.facebook.com/QuestionsdargentCanada/photos/a.534106823397553.1073741828.485734081568161/1069076363233927/?type=3,2017-12-26 11:45:12,2,0,7,2,0,0,0,0,0,0,"Vous courez les soldes de l’èsNoël pour acheter au rabais des appareils électroniques, des électroménagers ou autres articles coûteux? Avant d’acheter une garantie prolongée, assurez-vous de bien comprendre ce que couvre cette garantie. Renseignez-vous pour savoir si le produit que vous achetez est assorti d’une garantie du fabricant. Vérifiez aussi auprès de l’émetteur de votre carte de crédit s’il offre une garantie additionnelle dans le cas où vous payez avec celle-ci. Peut-être êtes-vous déjà bien couvert. Pour en savoir plus sur les garanties prolongées:",['#Apr'],['http://ow.ly/5uRU30hoN4e'],Vous courez les soldes de pour acheter au rabais des appareils lectroniques des nagers ou autres articles teux Avant acheter une garantie assurez vous de bien comprendre ce que couvre cette garantie Renseignez vous pour savoir si le produit que vous achetez est assorti une garantie du fabricant rifiez aussi de metteur de votre carte de dit il offre une garantie additionnelle dans le cas vous payez avec celle ci Peut vous bien couvert Pour en savoir plus sur les garanties es http ow ly 5uRU30hoN4e,"['Vous', 'courez', 'les', 'soldes', 'de', 'pour', 'acheter', 'au', 'rabais', 'des', 'appareils', 'lectroniques', 'des', 'nagers', 'ou', 'autres', 'articles', 'teux', 'Avant', 'acheter', 'une', 'garantie', 'assurez', 'vous', 'de', 'bien', 'comprendre', 'ce', 'que', 'couvre', 'cette', 'garantie', 'Renseignez', 'vous', 'pour', 'savoir', 'si', 'le', 'produit', 'que', 'vous', 'achetez', 'est', 'assorti', 'une', 'garantie', 'du', 'fabricant', 'rifiez', 'aussi', 'de', 'metteur', 'de', 'votre', 'carte', 'de', 'dit', 'il', 'offre', 'une', 'garantie', 'additionnelle', 'dans', 'le', 'cas', 'vous', 'payez', 'avec', 'celle', 'ci', 'Peut', 'vous', 'bien', 'couvert', 'Pour', 'en', 'savoir', 'plus', 'sur', 'les', 'garanties', 'es', 'http', 'ow', 'ly', '5uRU30hoN4e']","[u'vous', u'courez', u'les', u'sold', 'de', u'pour', u'achet', 'au', u'rabai', u'des', u'appareil', u'lectroniqu', u'des', u'nager', 'ou', u'autr', u'articl', u'teux', u'avant', u'achet', u'une', u'garanti', u'assurez', u'vous', 'de', u'bien', u'comprendr', 'ce', u'que', u'couvr', u'cett', u'garanti', u'renseignez', u'vous', u'pour', u'savoir', 'si', 'le', u'produit', u'que', u'vous', u'achetez', u'est', u'assorti', u'une', u'garanti', 'du', u'fabric', u'rifiez', u'aussi', 'de', u'metteur', 'de', u'votr', u'cart', 'de', u'dit', 'il', u'offr', u'une', u'garanti', u'additionnell', u'dan', 'le', u'cas', u'vous', u'payez', u'avec', u'cell', 'ci', u'peut', u'vous', u'bien', u'couvert', u'pour', 'en', u'savoir', u'plus', u'sur', u'les', u'garanti', 'es', u'http', 'ow', 'ly', u'5uru30hon4']","Vous courez les soldes de l’#AprèsNoël pour acheter au rabais des appareils électroniques, des électroménagers ou autres articles coûteux?

Avant d’acheter une garantie prolongée, assurez-vous de bien comprendre ce que couvre cette garantie.

Renseignez-vous pour savoir si le produit que vous achetez est assorti d’une garantie du fabricant. Vérifiez aussi auprès de l’émetteur de votre carte de crédit s’il offre une garantie additionnelle dans le cas où vous payez avec celle-ci. Peut-être êtes-vous déjà bien couvert.

Pour en savoir plus sur les garanties prolongées: http://ow.ly/5uRU30hoN4e",Environmental
5,5,5,5,485734081568161_1068492299959000,Timeline Photos,photo,https://www.facebook.com/QuestionsdargentCanada/photos/a.534106823397553.1073741828.485734081568161/1068492299959000/?type=3,2017-12-25 08:01:22,1,0,1,1,0,0,0,0,0,0,Joyeux temps des Fêtes à tous nos abonnés!,[],[],Joyeux temps des tous nos,"['Joyeux', 'temps', 'des', 'tous', 'nos']","[u'joyeux', u'temp', u'des', u'tous', u'nos']",Joyeux temps des Fêtes à tous nos abonnés!,Social
6,6,6,6,485734081568161_1067011050107125,Timeline Photos,photo,https://www.facebook.com/QuestionsdargentCanada/photos/a.534106823397553.1073741828.485734081568161/1067011050107125/?type=3,2017-12-22 11:45:23,1,0,4,1,0,0,0,0,0,0,"La Loi canadienne anti-pourriel interdit à quiconque d’installer des logiciels — y compris des mises à jour — sur vos appareils électroniques sans votre consentement. Elle s’applique également aux mises à jour et à niveau installées par quelqu’un d’autre, même si vous avez installé le logiciel original. Si vous pensez que quelqu’un a installé des logiciels malicieux ou modifié vos logiciels de façon à vous nuire, signalez-le sur",['#combattrelepourriel'],['http://ow.ly/5q7T30hfYyW'],La Loi canadienne anti pourriel interdit quiconque installer des logiciels compris des mises jour sur vos appareils lectroniques sans votre consentement Elle applique galement aux mises jour et niveau es par un autre si vous avez le logiciel original Si vous pensez que un des logiciels malicieux ou vos logiciels de vous nuire signalez le sur http ow ly 5q7T30hfYyW combattrelepourriel,"['La', 'Loi', 'canadienne', 'anti', 'pourriel', 'interdit', 'quiconque', 'installer', 'des', 'logiciels', 'compris', 'des', 'mises', 'jour', 'sur', 'vos', 'appareils', 'lectroniques', 'sans', 'votre', 'consentement', 'Elle', 'applique', 'galement', 'aux', 'mises', 'jour', 'et', 'niveau', 'es', 'par', 'un', 'autre', 'si', 'vous', 'avez', 'le', 'logiciel', 'original', 'Si', 'vous', 'pensez', 'que', 'un', 'des', 'logiciels', 'malicieux', 'ou', 'vos', 'logiciels', 'de', 'vous', 'nuire', 'signalez', 'le', 'sur', 'http', 'ow', 'ly', '5q7T30hfYyW', 'combattrelepourriel']","['la', u'loi', u'canadienn', u'anti', u'pourriel', u'interdit', u'quiconqu', u'instal', u'des', u'logiciel', u'compri', u'des', u'mise', u'jour', u'sur', u'vos', u'appareil', u'lectroniqu', u'san', u'votr', u'consent', u'ell', u'appliqu', u'galement', u'aux', u'mise', u'jour', 'et', u'niveau', 'es', u'par', 'un', u'autr', 'si', u'vous', u'avez', 'le', u'logiciel', u'origin', 'si', u'vous', u'pensez', u'que', 'un', u'des', u'logiciel', u'malicieux', 'ou', u'vos', u'logiciel', 'de', u'vous', u'nuir', u'signalez', 'le', u'sur', u'http', 'ow', 'ly', u'5q7t30hfyyw', u'combattrelepourriel']","La Loi canadienne anti-pourriel interdit à quiconque d’installer des logiciels — y compris des mises à jour — sur vos appareils électroniques sans votre consentement.

Elle s’applique également aux mises à jour et à niveau installées par quelqu’un d’autre, même si vous avez installé le logiciel original. Si vous pensez que quelqu’un a installé des logiciels malicieux ou modifié vos logiciels de façon à vous nuire, signalez-le sur http://ow.ly/5q7T30hfYyW #combattrelepourriel",Environmental
7,7,7,7,485734081568161_1066485463493017,Timeline Photos,photo,https://www.facebook.com/QuestionsdargentCanada/photos/a.534106823397553.1073741828.485734081568161/1066485463493017/?type=3,2017-12-21 11:45:20,3,2,0,2,0,0,1,0,0,0,"C’est officiellement l’hiver! Si vous prévoyez voyager cet hiver ou vous absenter pour une longue période, assurez-vous de débrancher tout ce qui n’est pas essentiel afin d’épargner sur votre facture d’électricité. La consommation d’énergie en mode attente peut représenter de à % des coûts d’électricité d’un foyer. Apprenez d’autres moyens d’économiser de l’énergie et de l’argent:",[],['http://ow.ly/tNsg30hfXFq'],est officiellement hiver Si vous voyez voyager cet hiver ou vous absenter pour une longue riode assurez vous de brancher tout ce qui est pas essentiel afin pargner sur votre facture La consommation nergie en mode attente peut senter de 10 des ts un foyer Apprenez autres moyens conomiser de nergie et de argent http ow ly tNsg30hfXFq,"['est', 'officiellement', 'hiver', 'Si', 'vous', 'voyez', 'voyager', 'cet', 'hiver', 'ou', 'vous', 'absenter', 'pour', 'une', 'longue', 'riode', 'assurez', 'vous', 'de', 'brancher', 'tout', 'ce', 'qui', 'est', 'pas', 'essentiel', 'afin', 'pargner', 'sur', 'votre', 'facture', 'La', 'consommation', 'nergie', 'en', 'mode', 'attente', 'peut', 'senter', 'de', '10', 'des', 'ts', 'un', 'foyer', 'Apprenez', 'autres', 'moyens', 'conomiser', 'de', 'nergie', 'et', 'de', 'argent', 'http', 'ow', 'ly', 'tNsg30hfXFq']","[u'est', u'officiel', u'hiver', 'si', u'vous', u'voyez', u'voyag', u'cet', u'hiver', 'ou', u'vous', u'absent', u'pour', u'une', u'longu', u'riod', u'assurez', u'vous', 'de', u'brancher', u'tout', 'ce', u'qui', u'est', u'pas', u'essentiel', u'afin', u'pargner', u'sur', u'votr', u'factur', 'la', u'consomm', u'nergi', 'en', u'mode', u'attent', u'peut', u'senter', 'de', '10', u'des', 'ts', 'un', u'foyer', u'apprenez', u'autr', u'moyen', u'conomis', 'de', u'nergi', 'et', 'de', u'argent', u'http', 'ow', 'ly', u'tnsg30hfxfq']","C’est officiellement l’hiver!

Si vous prévoyez voyager cet hiver ou vous absenter pour une longue période, assurez-vous de débrancher tout ce qui n’est pas essentiel afin d’épargner sur votre facture d’électricité.

La consommation d’énergie en mode attente peut représenter de 5 à 10 % des coûts d’électricité d’un foyer.

Apprenez d’autres moyens d’économiser de l’énergie et de l’argent: http://ow.ly/tNsg30hfXFq",Social
8,8,8,8,485734081568161_1066094556865441,Timeline Photos,photo,https://www.facebook.com/QuestionsdargentCanada/photos/a.534106823397553.1073741828.485734081568161/1066094556865441/?type=3,2017-12-20 18:45:09,4,1,1,4,0,0,0,0,0,0,À la recherche du cadeau idéal? Un don est toujours de la bonne taille! L’Agence du revenu du Canada publie une liste d’ et de ressources pour vous aider à choisir l’organisme de charité qui convient le mieux à vous ou à vos proches.,['#organismesdebienfaisance'],['http://ow.ly/s0bO30hfXoP'],la recherche du cadeau al Un est toujours de la bonne taille Agence du revenu du Canada publie une liste organismesdebienfaisance et de ressources pour vous aider choisir organisme de qui convient le mieux vous ou vos proches http ow ly s0bO30hfXoP,"['la', 'recherche', 'du', 'cadeau', 'al', 'Un', 'est', 'toujours', 'de', 'la', 'bonne', 'taille', 'Agence', 'du', 'revenu', 'du', 'Canada', 'publie', 'une', 'liste', 'organismesdebienfaisance', 'et', 'de', 'ressources', 'pour', 'vous', 'aider', 'choisir', 'organisme', 'de', 'qui', 'convient', 'le', 'mieux', 'vous', 'ou', 'vos', 'proches', 'http', 'ow', 'ly', 's0bO30hfXoP']","['la', u'recherch', 'du', u'cadeau', 'al', 'un', u'est', u'toujour', 'de', 'la', u'bonn', u'taill', u'agenc', 'du', u'revenu', 'du', u'canada', u'publi', u'une', u'list', u'organismesdebienfais', 'et', 'de', u'ressourc', u'pour', u'vous', u'aider', u'choisir', u'organism', 'de', u'qui', u'convient', 'le', u'mieux', u'vous', 'ou', u'vos', u'proch', u'http', 'ow', 'ly', u's0bo30hfxop']","À la recherche du cadeau idéal? 

Un don est toujours de la bonne taille! L’Agence du revenu du Canada publie une liste d’#organismesdebienfaisance et de ressources pour vous aider à choisir l’organisme de charité qui convient le mieux à vous ou à vos proches. 
http://ow.ly/s0bO30hfXoP",Environmental
9,9,9,9,485734081568161_1065980056876891,Pensez cybersécurité,photo,https://www.facebook.com/Pensezcybersecurite/photos/a.435485793204761.1073741828.435100263243314/1579897055430290/?type=3,2017-12-20 12:46:41,0,0,0,0,0,0,0,0,0,0,,[],[],,['nan'],[u'nan'],,Social
