Unnamed: 0,comment_id,status_id,parent_id,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,comment_message_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed
0,667462033642425_668225513566077,632493333805962_667462033642425,,2017-12-22 18:12:20,0,0,0,0,0,0,0,0,What did they talk about in the dirty thirties...did the scientists spread fear about weather change then...,[],[],talk dirty thirties scientists spread fear weather change,"['talk', 'dirty', 'thirties', 'scientists', 'spread', 'fear', 'weather', 'change']","[u'talk', u'dirti', u'thirti', u'scientist', u'spread', u'fear', u'weather', u'chang']"
1,666382390417056_666509960404299,632493333805962_666382390417056,,2017-12-19 19:37:00,0,0,0,0,0,0,0,0,If you’re not building nuclear power plants you’re wasting resources. If we started construction on plant in Saskatchewan and in Alberta we could employ thousands of skilled trades people currently left unemployed by the oil down turn plus when the plants come on line we could reduce our carbon footprint by many tonnes. Time To Go Nuclear.,[],[],building nuclear power plants wasting resources started construction plant Saskatchewan Alberta could employ thousands skilled trades people currently left unemployed oil turn plus plants come line could reduce carbon footprint many tonnes Time Go Nuclear,"['building', 'nuclear', 'power', 'plants', 'wasting', 'resources', 'started', 'construction', 'plant', 'Saskatchewan', 'Alberta', 'could', 'employ', 'thousands', 'skilled', 'trades', 'people', 'currently', 'left', 'unemployed', 'oil', 'turn', 'plus', 'plants', 'come', 'line', 'could', 'reduce', 'carbon', 'footprint', 'many', 'tonnes', 'Time', 'Go', 'Nuclear']","[u'build', u'nuclear', u'power', u'plant', u'wast', u'resourc', u'start', u'construct', u'plant', u'saskatchewan', u'alberta', u'could', u'employ', u'thousand', u'skill', u'trade', u'peopl', u'current', u'left', u'unemploy', u'oil', u'turn', u'plus', u'plant', u'come', u'line', u'could', u'reduc', u'carbon', u'footprint', u'mani', u'tonn', u'time', 'go', u'nuclear']"
2,663786990676596_664158603972768,632493333805962_664058260649469,,2017-12-15 12:45:49,1,1,0,0,0,0,0,0,"Energy efficiency is the lowest hanging fruit anyone can do for slowing climate change. I replaced every light bulb with LEDs two years ago. The light is better and as for cost savings, they have already paid for themselves. PLUS none of the bulbs has burned out yet!",[],[],Energy efficiency lowest hanging fruit anyone slowing climate change replaced every light bulb LEDs two years ago light better cost savings already paid PLUS none bulbs burned yet,"['Energy', 'efficiency', 'lowest', 'hanging', 'fruit', 'anyone', 'slowing', 'climate_change', 'replaced', 'every', 'light', 'bulb', 'LEDs', 'two', 'years', 'ago', 'light', 'better', 'cost', 'savings', 'already', 'paid', 'PLUS', 'none', 'bulbs', 'burned', 'yet']","[u'energi', u'effici', u'lowest', u'hang', u'fruit', u'anyon', u'slow', u'climate_chang', u'replac', u'everi', u'light', u'bulb', u'led', u'two', u'year', u'ago', u'light', u'better', u'cost', u'save', u'alreadi', u'paid', u'plus', u'none', u'bulb', u'burn', u'yet']"
3,663786990676596_664187497303212,632493333805962_664058260649469,,2017-12-15 14:00:07,0,0,0,0,0,0,0,0,"when are you and the entire Liberal team announcing you are all going since plant-based diets would help reduce emissions by +%? if is truly a crucial issue, then put personal actions behind your endless 'announcements' and 'commitments'","['#vegan', '#ClimateAction']",[],entire Liberal team announcing going since plant based diets would help reduce emissions truly crucial issue put personal actions behind endless announcements commitments,"['entire', 'Liberal', 'team', 'announcing', 'going', 'since', 'plant', 'based', 'diets', 'would', 'help', 'reduce', 'emissions', 'truly', 'crucial', 'issue', 'put', 'personal', 'actions', 'behind', 'endless', 'announcements', 'commitments']","[u'entir', u'liber', u'team', u'announc', u'go', u'sinc', u'plant', u'base', u'diet', u'would', u'help', u'reduc', u'emiss', u'truli', u'crucial', u'issu', u'put', u'person', u'action', u'behind', u'endless', u'announc', u'commit']"
4,663786990676596_664087167313245,632493333805962_664058260649469,,2017-12-15 10:13:03,1,1,0,0,0,0,0,0,Looking forward to hearing about the Challenge Fund next year.,[],[],Looking forward hearing Challenge Fund next year,"['Looking', 'forward', 'hearing', 'Challenge', 'Fund', 'next', 'year']","[u'look', u'forward', u'hear', u'challeng', u'fund', u'next', u'year']"
5,663786990676596_664081900647105,632493333805962_664058260649469,,2017-12-15 10:04:15,0,0,0,0,0,0,0,0,Short version - we're going to spend your money to tell you how to save money so that you can pay your increasing energy bills.,[],[],Short version going spend money tell save money pay increasing energy bills,"['Short', 'version', 'going', 'spend', 'money', 'tell', 'save', 'money', 'pay', 'increasing', 'energy', 'bills']","[u'short', u'version', u'go', u'spend', u'money', u'tell', u'save', u'money', u'pay', u'increas', u'energi', u'bill']"
6,663786990676596_664079373980691,632493333805962_664058260649469,,2017-12-15 09:59:36,1,1,0,0,0,0,0,0,Encouraging energy efficiency is NOT a new initiative,[],[],Encouraging energy efficiency new initiative,"['Encouraging', 'energy', 'efficiency', 'new', 'initiative']","[u'encourag', u'energi', u'effici', u'new', u'initi']"
7,663786990676596_664155180639777,632493333805962_664058260649469,,2017-12-15 12:37:08,0,0,0,0,0,0,0,0,The Low Carbon Economy Challenge was supposed to be launched in ....,[],[],Low Carbon Economy Challenge supposed launched,"['Low', 'Carbon', 'Economy', 'Challenge', 'supposed', 'launched']","[u'low', u'carbon', u'economi', u'challeng', u'suppos', u'launch']"
8,663786990676596_664132733975355,632493333805962_664058260649469,,2017-12-15 11:38:35,0,0,0,0,0,0,0,0,So proud that Canada is integrating sustainability into the economy!,[],[],proud Canada integrating sustainability economy,"['proud', 'Canada', 'integrating', 'sustainability', 'economy']","[u'proud', u'canada', u'integr', u'sustain', u'economi']"
9,663786990676596_664069423981686,632493333805962_664058260649469,,2017-12-15 09:48:31,0,0,0,0,0,0,0,0,Enough virtue signalling - get on with it,[],[],Enough virtue signalling get,"['Enough', 'virtue', 'signalling', 'get']","[u'enough', u'virtu', u'signal', u'get']"
